Region;Federal District;Date;Cases;Deaths
Kemerovo region;Siberian Federal District;07.03.2020;;
Kirov region;Volga Federal District;07.03.2020;;
Kostroma region;Central Federal District;07.03.2020;;
Krasnodar region;Southern Federal District;07.03.2020;;
Krasnoyarsk region;Siberian Federal District;07.03.2020;;
Kurgan region;Ural federal district;07.03.2020;;
Kursk region;Central Federal District;07.03.2020;;
Leningrad region;Northwestern Federal District;07.03.2020;;
Lipetsk region;Central Federal District;07.03.2020;3;
Magadan Region;Far Eastern Federal District;07.03.2020;;
Moscow;Central Federal District;07.03.2020;;
Moscow region;Central Federal District;07.03.2020;;
Murmansk region;Northwestern Federal District;07.03.2020;;
Nenets Autonomous Okrug;Northwestern Federal District;07.03.2020;;
Nizhny Novgorod Region;Volga Federal District;07.03.2020;;
Novgorod region;Northwestern Federal District;07.03.2020;;
Novosibirsk region;Siberian Federal District;07.03.2020;;
Omsk region;Siberian Federal District;07.03.2020;;
Orenburg region;Volga Federal District;07.03.2020;;
Oryol Region;Central Federal District;07.03.2020;;
Penza region;Volga Federal District;07.03.2020;;
Perm region;Volga Federal District;07.03.2020;;
Primorsky Krai;Far Eastern Federal District;07.03.2020;;
Pskov region;Northwestern Federal District;07.03.2020;;
Republic of Adygea;Southern Federal District;07.03.2020;;
Altai Republic;Siberian Federal District;07.03.2020;;
Republic of Bashkortostan;Volga Federal District;07.03.2020;;
Republic of Buryatia;Far Eastern Federal District;07.03.2020;;
Republic of Dagestan;North Caucasus Federal District;07.03.2020;;
Republic of Ingushetia;North Caucasus Federal District;07.03.2020;;
Republic of Kalmykia;Southern Federal District;07.03.2020;;
Republic of Karelia;Northwestern Federal District;07.03.2020;;
Komi Republic;Northwestern Federal District;07.03.2020;;
Republic of Crimea;Southern Federal District;07.03.2020;;
Mari El Republic;Volga Federal District;07.03.2020;;
The Republic of Mordovia;Volga Federal District;07.03.2020;;
The Republic of Sakha (Yakutia);Far Eastern Federal District;07.03.2020;;
Republic of North Ossetia - Alania;North Caucasus Federal District;07.03.2020;;
Republic of Tatarstan;Volga Federal District;07.03.2020;;
Tyva Republic;Siberian Federal District;07.03.2020;;
The Republic of Khakassia;Siberian Federal District;07.03.2020;;
Chuvash Republic;Volga Federal District;07.03.2020;;
Rostov region;Southern Federal District;07.03.2020;;
Ryazan Oblast;Central Federal District;07.03.2020;;
Samara Region;Volga Federal District;07.03.2020;;
St. Petersburg;Northwestern Federal District;07.03.2020;1;
Saratov region;Volga Federal District;07.03.2020;;
Sakhalin Oblast;Far Eastern Federal District;07.03.2020;;
Sverdlovsk region;Ural federal district;07.03.2020;;
Sevastopol;Southern Federal District;07.03.2020;;
Smolensk region;Central Federal District;07.03.2020;;
Stavropol region;North Caucasus Federal District;07.03.2020;;
Tambov Region;Central Federal District;07.03.2020;;
Tver region;Central Federal District;07.03.2020;;
Tomsk region;Siberian Federal District;07.03.2020;;
Tula region;Central Federal District;07.03.2020;;
Tyumen region;Ural federal district;07.03.2020;;
Udmurtia;Volga Federal District;07.03.2020;;
Ulyanovsk region;Volga Federal District;07.03.2020;;
Khabarovsk region;Far Eastern Federal District;07.03.2020;;
Khanty-Mansi Autonomous Okrug;Ural federal district;07.03.2020;;
Chelyabinsk region;Ural federal district;07.03.2020;;
Chechen Republic;North Caucasus Federal District;07.03.2020;;
Chukotka Autonomous Okrug;Far Eastern Federal District;07.03.2020;;
Yamal-Nenets Autonomous Okrug;Ural federal district;07.03.2020;;
Yaroslavskaya oblast;Central Federal District;07.03.2020;;
Altai region;Siberian Federal District;08.03.2020;;
Amur region;Far Eastern Federal District;08.03.2020;;
Arhangelsk region;Northwestern Federal District;08.03.2020;;
Astrakhan region;Southern Federal District;08.03.2020;;
Belgorod region;Central Federal District;08.03.2020;1;
Bryansk region;Central Federal District;08.03.2020;;
Vladimir region;Central Federal District;08.03.2020;;
Volgograd region;Southern Federal District;08.03.2020;;
Vologda Region;Northwestern Federal District;08.03.2020;;
Voronezh region;Central Federal District;08.03.2020;;
Jewish Autonomous Region;Far Eastern Federal District;08.03.2020;;
Zabaykalsky Krai;Far Eastern Federal District;08.03.2020;;
Ivanovo region;Central Federal District;08.03.2020;;
Irkutsk region;Siberian Federal District;08.03.2020;;
Kabardino-Balkarian Republic;North Caucasus Federal District;08.03.2020;;
Kaliningrad region;Northwestern Federal District;08.03.2020;1;
Kaluga region;Central Federal District;08.03.2020;;
Kamchatka Krai;Far Eastern Federal District;08.03.2020;;
Karachay-Cherkess Republic;North Caucasus Federal District;08.03.2020;;
Kemerovo region;Siberian Federal District;08.03.2020;;
Kirov region;Volga Federal District;08.03.2020;;
Kostroma region;Central Federal District;08.03.2020;;
Krasnodar region;Southern Federal District;08.03.2020;;
Krasnoyarsk region;Siberian Federal District;08.03.2020;;
Kurgan region;Ural federal district;08.03.2020;;
Kursk region;Central Federal District;08.03.2020;;
Leningrad region;Northwestern Federal District;08.03.2020;;
Lipetsk region;Central Federal District;08.03.2020;;
Magadan Region;Far Eastern Federal District;08.03.2020;;
Moscow;Central Federal District;08.03.2020;1;
Moscow region;Central Federal District;08.03.2020;;
Murmansk region;Northwestern Federal District;08.03.2020;;
Nenets Autonomous Okrug;Northwestern Federal District;08.03.2020;;
Nizhny Novgorod Region;Volga Federal District;08.03.2020;;
Novgorod region;Northwestern Federal District;08.03.2020;;
Novosibirsk region;Siberian Federal District;08.03.2020;;
Omsk region;Siberian Federal District;08.03.2020;;
Orenburg region;Volga Federal District;08.03.2020;;
Oryol Region;Central Federal District;08.03.2020;;
Penza region;Volga Federal District;08.03.2020;;
Perm region;Volga Federal District;08.03.2020;;
Primorsky Krai;Far Eastern Federal District;08.03.2020;;
Pskov region;Northwestern Federal District;08.03.2020;;
Republic of Adygea;Southern Federal District;08.03.2020;;
Altai Republic;Siberian Federal District;08.03.2020;;
Republic of Bashkortostan;Volga Federal District;08.03.2020;;
Republic of Buryatia;Far Eastern Federal District;08.03.2020;;
Republic of Dagestan;North Caucasus Federal District;08.03.2020;;
Republic of Ingushetia;North Caucasus Federal District;08.03.2020;;
Republic of Kalmykia;Southern Federal District;08.03.2020;;
Republic of Karelia;Northwestern Federal District;08.03.2020;;
Komi Republic;Northwestern Federal District;08.03.2020;;
Republic of Crimea;Southern Federal District;08.03.2020;;
Mari El Republic;Volga Federal District;08.03.2020;;
The Republic of Mordovia;Volga Federal District;08.03.2020;;
The Republic of Sakha (Yakutia);Far Eastern Federal District;08.03.2020;;
Republic of North Ossetia - Alania;North Caucasus Federal District;08.03.2020;;
Republic of Tatarstan;Volga Federal District;08.03.2020;;
Tyva Republic;Siberian Federal District;08.03.2020;;
The Republic of Khakassia;Siberian Federal District;08.03.2020;;
Chuvash Republic;Volga Federal District;08.03.2020;;
Rostov region;Southern Federal District;08.03.2020;;
Ryazan Oblast;Central Federal District;08.03.2020;;
Samara Region;Volga Federal District;08.03.2020;;
St. Petersburg;Northwestern Federal District;08.03.2020;;
Saratov region;Volga Federal District;08.03.2020;;
Sakhalin Oblast;Far Eastern Federal District;08.03.2020;;
Sverdlovsk region;Ural federal district;08.03.2020;;
Sevastopol;Southern Federal District;08.03.2020;;
Smolensk region;Central Federal District;08.03.2020;;
Stavropol region;North Caucasus Federal District;08.03.2020;;
Tambov Region;Central Federal District;08.03.2020;;
Tver region;Central Federal District;08.03.2020;;
Tomsk region;Siberian Federal District;08.03.2020;;
Tula region;Central Federal District;08.03.2020;;
Tyumen region;Ural federal district;08.03.2020;;
Udmurtia;Volga Federal District;08.03.2020;;
Ulyanovsk region;Volga Federal District;08.03.2020;;
Khabarovsk region;Far Eastern Federal District;08.03.2020;;
Khanty-Mansi Autonomous Okrug;Ural federal district;08.03.2020;;
Chelyabinsk region;Ural federal district;08.03.2020;;
Chechen Republic;North Caucasus Federal District;08.03.2020;;
Chukotka Autonomous Okrug;Far Eastern Federal District;08.03.2020;;
Yamal-Nenets Autonomous Okrug;Ural federal district;08.03.2020;;
Yaroslavskaya oblast;Central Federal District;08.03.2020;;
Altai region;Siberian Federal District;09.03.2020;;
Amur region;Far Eastern Federal District;09.03.2020;;
Arhangelsk region;Northwestern Federal District;09.03.2020;;
Astrakhan region;Southern Federal District;09.03.2020;;
Belgorod region;Central Federal District;09.03.2020;1;
Bryansk region;Central Federal District;09.03.2020;;
Vladimir region;Central Federal District;09.03.2020;;
Volgograd region;Southern Federal District;09.03.2020;;
Vologda Region;Northwestern Federal District;09.03.2020;;
Voronezh region;Central Federal District;09.03.2020;;
Jewish Autonomous Region;Far Eastern Federal District;09.03.2020;;
Zabaykalsky Krai;Far Eastern Federal District;09.03.2020;;
Ivanovo region;Central Federal District;09.03.2020;;
Irkutsk region;Siberian Federal District;09.03.2020;;
Kabardino-Balkarian Republic;North Caucasus Federal District;09.03.2020;;
Kaliningrad region;Northwestern Federal District;09.03.2020;1;
Kaluga region;Central Federal District;09.03.2020;;
Kamchatka Krai;Far Eastern Federal District;09.03.2020;;
Karachay-Cherkess Republic;North Caucasus Federal District;09.03.2020;;
Kemerovo region;Siberian Federal District;09.03.2020;;
Kirov region;Volga Federal District;09.03.2020;;
Kostroma region;Central Federal District;09.03.2020;;
Krasnodar region;Southern Federal District;09.03.2020;;
Krasnoyarsk region;Siberian Federal District;09.03.2020;;
Kurgan region;Ural federal district;09.03.2020;;
Kursk region;Central Federal District;09.03.2020;;
Leningrad region;Northwestern Federal District;09.03.2020;;
Lipetsk region;Central Federal District;09.03.2020;3;
Magadan Region;Far Eastern Federal District;09.03.2020;;
Moscow;Central Federal District;09.03.2020;8;
Moscow region;Central Federal District;09.03.2020;2;
Murmansk region;Northwestern Federal District;09.03.2020;;
Nenets Autonomous Okrug;Northwestern Federal District;09.03.2020;;
Nizhny Novgorod Region;Volga Federal District;09.03.2020;1;
Novgorod region;Northwestern Federal District;09.03.2020;;
Novosibirsk region;Siberian Federal District;09.03.2020;;
Omsk region;Siberian Federal District;09.03.2020;;
Orenburg region;Volga Federal District;09.03.2020;;
Oryol Region;Central Federal District;09.03.2020;;
Penza region;Volga Federal District;09.03.2020;;
Perm region;Volga Federal District;09.03.2020;;
Primorsky Krai;Far Eastern Federal District;09.03.2020;;
Pskov region;Northwestern Federal District;09.03.2020;;
Republic of Adygea;Southern Federal District;09.03.2020;;
Altai Republic;Siberian Federal District;09.03.2020;;
Republic of Bashkortostan;Volga Federal District;09.03.2020;;
Republic of Buryatia;Far Eastern Federal District;09.03.2020;;
Republic of Dagestan;North Caucasus Federal District;09.03.2020;;
Republic of Ingushetia;North Caucasus Federal District;09.03.2020;;
Republic of Kalmykia;Southern Federal District;09.03.2020;;
Republic of Karelia;Northwestern Federal District;09.03.2020;;
Komi Republic;Northwestern Federal District;09.03.2020;;
Republic of Crimea;Southern Federal District;09.03.2020;;
Mari El Republic;Volga Federal District;09.03.2020;;
The Republic of Mordovia;Volga Federal District;09.03.2020;;
The Republic of Sakha (Yakutia);Far Eastern Federal District;09.03.2020;;
Republic of North Ossetia - Alania;North Caucasus Federal District;09.03.2020;;
Republic of Tatarstan;Volga Federal District;09.03.2020;;
Tyva Republic;Siberian Federal District;09.03.2020;;
The Republic of Khakassia;Siberian Federal District;09.03.2020;;
Chuvash Republic;Volga Federal District;09.03.2020;;
Rostov region;Southern Federal District;09.03.2020;;
Ryazan Oblast;Central Federal District;09.03.2020;;
Samara Region;Volga Federal District;09.03.2020;;
St. Petersburg;Northwestern Federal District;09.03.2020;1;
Saratov region;Volga Federal District;09.03.2020;;
Sakhalin Oblast;Far Eastern Federal District;09.03.2020;;
Sverdlovsk region;Ural federal district;09.03.2020;;
Sevastopol;Southern Federal District;09.03.2020;;
Smolensk region;Central Federal District;09.03.2020;;
Stavropol region;North Caucasus Federal District;09.03.2020;;
Tambov Region;Central Federal District;09.03.2020;;
Tver region;Central Federal District;09.03.2020;;
Tomsk region;Siberian Federal District;09.03.2020;;
Tula region;Central Federal District;09.03.2020;;
Tyumen region;Ural federal district;09.03.2020;;
Udmurtia;Volga Federal District;09.03.2020;;
Ulyanovsk region;Volga Federal District;09.03.2020;;
Khabarovsk region;Far Eastern Federal District;09.03.2020;;
Khanty-Mansi Autonomous Okrug;Ural federal district;09.03.2020;;
Chelyabinsk region;Ural federal district;09.03.2020;;
Chechen Republic;North Caucasus Federal District;09.03.2020;;
Chukotka Autonomous Okrug;Far Eastern Federal District;09.03.2020;;
Yamal-Nenets Autonomous Okrug;Ural federal district;09.03.2020;;
Yaroslavskaya oblast;Central Federal District;09.03.2020;;
Altai region;Siberian Federal District;10.03.2020;;
Amur region;Far Eastern Federal District;10.03.2020;;
Arhangelsk region;Northwestern Federal District;10.03.2020;;
Astrakhan region;Southern Federal District;10.03.2020;;
Belgorod region;Central Federal District;10.03.2020;;
Bryansk region;Central Federal District;10.03.2020;;
Vladimir region;Central Federal District;10.03.2020;;
Volgograd region;Southern Federal District;10.03.2020;;
Vologda Region;Northwestern Federal District;10.03.2020;;
Voronezh region;Central Federal District;10.03.2020;;
Jewish Autonomous Region;Far Eastern Federal District;10.03.2020;;
Zabaykalsky Krai;Far Eastern Federal District;10.03.2020;;
Ivanovo region;Central Federal District;10.03.2020;;
Irkutsk region;Siberian Federal District;10.03.2020;;
Kabardino-Balkarian Republic;North Caucasus Federal District;10.03.2020;;
Kaliningrad region;Northwestern Federal District;10.03.2020;;
Kaluga region;Central Federal District;10.03.2020;;
Kamchatka Krai;Far Eastern Federal District;10.03.2020;;
Karachay-Cherkess Republic;North Caucasus Federal District;10.03.2020;;
Kemerovo region;Siberian Federal District;10.03.2020;;
Kirov region;Volga Federal District;10.03.2020;;
Kostroma region;Central Federal District;10.03.2020;;
Krasnodar region;Southern Federal District;10.03.2020;;
Krasnoyarsk region;Siberian Federal District;10.03.2020;;
Kurgan region;Ural federal district;10.03.2020;;
Kursk region;Central Federal District;10.03.2020;;
Leningrad region;Northwestern Federal District;10.03.2020;;
Lipetsk region;Central Federal District;10.03.2020;;
Magadan Region;Far Eastern Federal District;10.03.2020;;
Moscow;Central Federal District;10.03.2020;3;
Moscow region;Central Federal District;10.03.2020;;
Murmansk region;Northwestern Federal District;10.03.2020;;
Nenets Autonomous Okrug;Northwestern Federal District;10.03.2020;;
Nizhny Novgorod Region;Volga Federal District;10.03.2020;;
Novgorod region;Northwestern Federal District;10.03.2020;;
Novosibirsk region;Siberian Federal District;10.03.2020;;
Omsk region;Siberian Federal District;10.03.2020;;
Orenburg region;Volga Federal District;10.03.2020;;
Oryol Region;Central Federal District;10.03.2020;;
Penza region;Volga Federal District;10.03.2020;;
Perm region;Volga Federal District;10.03.2020;;
Primorsky Krai;Far Eastern Federal District;10.03.2020;;
Pskov region;Northwestern Federal District;10.03.2020;;
Republic of Adygea;Southern Federal District;10.03.2020;;
Altai Republic;Siberian Federal District;10.03.2020;;
Republic of Bashkortostan;Volga Federal District;10.03.2020;;
Republic of Buryatia;Far Eastern Federal District;10.03.2020;;
Republic of Dagestan;North Caucasus Federal District;10.03.2020;;
Republic of Ingushetia;North Caucasus Federal District;10.03.2020;;
Republic of Kalmykia;Southern Federal District;10.03.2020;;
Republic of Karelia;Northwestern Federal District;10.03.2020;;
Komi Republic;Northwestern Federal District;10.03.2020;;
Republic of Crimea;Southern Federal District;10.03.2020;;
Mari El Republic;Volga Federal District;10.03.2020;;
The Republic of Mordovia;Volga Federal District;10.03.2020;;
The Republic of Sakha (Yakutia);Far Eastern Federal District;10.03.2020;;
Republic of North Ossetia - Alania;North Caucasus Federal District;10.03.2020;;
Republic of Tatarstan;Volga Federal District;10.03.2020;;
Tyva Republic;Siberian Federal District;10.03.2020;;
The Republic of Khakassia;Siberian Federal District;10.03.2020;;
Chuvash Republic;Volga Federal District;10.03.2020;;
Rostov region;Southern Federal District;10.03.2020;;
Ryazan Oblast;Central Federal District;10.03.2020;;
Samara Region;Volga Federal District;10.03.2020;;
St. Petersburg;Northwestern Federal District;10.03.2020;;
Saratov region;Volga Federal District;10.03.2020;;
Sakhalin Oblast;Far Eastern Federal District;10.03.2020;;
Sverdlovsk region;Ural federal district;10.03.2020;;
Sevastopol;Southern Federal District;10.03.2020;;
Smolensk region;Central Federal District;10.03.2020;;
Stavropol region;North Caucasus Federal District;10.03.2020;;
Tambov Region;Central Federal District;10.03.2020;;
Tver region;Central Federal District;10.03.2020;;
Tomsk region;Siberian Federal District;10.03.2020;;
Tula region;Central Federal District;10.03.2020;;
Tyumen region;Ural federal district;10.03.2020;;
Udmurtia;Volga Federal District;10.03.2020;;
Ulyanovsk region;Volga Federal District;10.03.2020;;
Khabarovsk region;Far Eastern Federal District;10.03.2020;;
Khanty-Mansi Autonomous Okrug;Ural federal district;10.03.2020;;
Chelyabinsk region;Ural federal district;10.03.2020;;
Chechen Republic;North Caucasus Federal District;10.03.2020;;
Chukotka Autonomous Okrug;Far Eastern Federal District;10.03.2020;;
Yamal-Nenets Autonomous Okrug;Ural federal district;10.03.2020;;
Yaroslavskaya oblast;Central Federal District;10.03.2020;;
Altai region;Siberian Federal District;11.03.2020;;
Amur region;Far Eastern Federal District;11.03.2020;;
Arhangelsk region;Northwestern Federal District;11.03.2020;;
Astrakhan region;Southern Federal District;11.03.2020;;
Belgorod region;Central Federal District;11.03.2020;;
Bryansk region;Central Federal District;11.03.2020;;
Vladimir region;Central Federal District;11.03.2020;;
Volgograd region;Southern Federal District;11.03.2020;;
Vologda Region;Northwestern Federal District;11.03.2020;;
Voronezh region;Central Federal District;11.03.2020;;
Jewish Autonomous Region;Far Eastern Federal District;11.03.2020;;
Zabaykalsky Krai;Far Eastern Federal District;11.03.2020;;
Ivanovo region;Central Federal District;11.03.2020;;
Irkutsk region;Siberian Federal District;11.03.2020;;
Kabardino-Balkarian Republic;North Caucasus Federal District;11.03.2020;;
Kaliningrad region;Northwestern Federal District;11.03.2020;;
Kaluga region;Central Federal District;11.03.2020;;
Kamchatka Krai;Far Eastern Federal District;11.03.2020;;
Karachay-Cherkess Republic;North Caucasus Federal District;11.03.2020;;
Kemerovo region;Siberian Federal District;11.03.2020;;
Kirov region;Volga Federal District;11.03.2020;;
Kostroma region;Central Federal District;11.03.2020;;
Krasnodar region;Southern Federal District;11.03.2020;;
Krasnoyarsk region;Siberian Federal District;11.03.2020;;
Kurgan region;Ural federal district;11.03.2020;;
Kursk region;Central Federal District;11.03.2020;;
Leningrad region;Northwestern Federal District;11.03.2020;;
Lipetsk region;Central Federal District;11.03.2020;;
Magadan Region;Far Eastern Federal District;11.03.2020;;
Moscow;Central Federal District;11.03.2020;6;
Moscow region;Central Federal District;11.03.2020;2;
Murmansk region;Northwestern Federal District;11.03.2020;;
Nenets Autonomous Okrug;Northwestern Federal District;11.03.2020;;
Nizhny Novgorod Region;Volga Federal District;11.03.2020;;
Novgorod region;Northwestern Federal District;11.03.2020;;
Novosibirsk region;Siberian Federal District;11.03.2020;;
Omsk region;Siberian Federal District;11.03.2020;;
Orenburg region;Volga Federal District;11.03.2020;;
Oryol Region;Central Federal District;11.03.2020;;
Penza region;Volga Federal District;11.03.2020;;
Perm region;Volga Federal District;11.03.2020;;
Primorsky Krai;Far Eastern Federal District;11.03.2020;;
Pskov region;Northwestern Federal District;11.03.2020;;
Republic of Adygea;Southern Federal District;11.03.2020;;
Altai Republic;Siberian Federal District;11.03.2020;;
Republic of Bashkortostan;Volga Federal District;11.03.2020;;
Republic of Buryatia;Far Eastern Federal District;11.03.2020;;
Republic of Dagestan;North Caucasus Federal District;11.03.2020;;
Republic of Ingushetia;North Caucasus Federal District;11.03.2020;;
Republic of Kalmykia;Southern Federal District;11.03.2020;;
Republic of Karelia;Northwestern Federal District;11.03.2020;;
Komi Republic;Northwestern Federal District;11.03.2020;;
Republic of Crimea;Southern Federal District;11.03.2020;;
Mari El Republic;Volga Federal District;11.03.2020;;
The Republic of Mordovia;Volga Federal District;11.03.2020;;
The Republic of Sakha (Yakutia);Far Eastern Federal District;11.03.2020;;
Republic of North Ossetia - Alania;North Caucasus Federal District;11.03.2020;;
Republic of Tatarstan;Volga Federal District;11.03.2020;;
Tyva Republic;Siberian Federal District;11.03.2020;;
The Republic of Khakassia;Siberian Federal District;11.03.2020;;
Chuvash Republic;Volga Federal District;11.03.2020;;
Rostov region;Southern Federal District;11.03.2020;;
Ryazan Oblast;Central Federal District;11.03.2020;;
Samara Region;Volga Federal District;11.03.2020;;
St. Petersburg;Northwestern Federal District;11.03.2020;;
Saratov region;Volga Federal District;11.03.2020;;
Sakhalin Oblast;Far Eastern Federal District;11.03.2020;;
Sverdlovsk region;Ural federal district;11.03.2020;;
Sevastopol;Southern Federal District;11.03.2020;;
Smolensk region;Central Federal District;11.03.2020;;
Stavropol region;North Caucasus Federal District;11.03.2020;;
Tambov Region;Central Federal District;11.03.2020;;
Tver region;Central Federal District;11.03.2020;;
Tomsk region;Siberian Federal District;11.03.2020;;
Tula region;Central Federal District;11.03.2020;;
Tyumen region;Ural federal district;11.03.2020;;
Udmurtia;Volga Federal District;11.03.2020;;
Ulyanovsk region;Volga Federal District;11.03.2020;;
Khabarovsk region;Far Eastern Federal District;11.03.2020;;
Khanty-Mansi Autonomous Okrug;Ural federal district;11.03.2020;;
Chelyabinsk region;Ural federal district;11.03.2020;;
Chechen Republic;North Caucasus Federal District;11.03.2020;;
Chukotka Autonomous Okrug;Far Eastern Federal District;11.03.2020;;
Yamal-Nenets Autonomous Okrug;Ural federal district;11.03.2020;;
Yaroslavskaya oblast;Central Federal District;11.03.2020;;
Altai region;Siberian Federal District;12.03.2020;;
Amur region;Far Eastern Federal District;12.03.2020;;
Arhangelsk region;Northwestern Federal District;12.03.2020;;
Astrakhan region;Southern Federal District;12.03.2020;;
Belgorod region;Central Federal District;12.03.2020;;
Bryansk region;Central Federal District;12.03.2020;;
Vladimir region;Central Federal District;12.03.2020;;
Volgograd region;Southern Federal District;12.03.2020;;
Vologda Region;Northwestern Federal District;12.03.2020;;
Voronezh region;Central Federal District;12.03.2020;;
Jewish Autonomous Region;Far Eastern Federal District;12.03.2020;;
Zabaykalsky Krai;Far Eastern Federal District;12.03.2020;;
Ivanovo region;Central Federal District;12.03.2020;;
Irkutsk region;Siberian Federal District;12.03.2020;;
Kabardino-Balkarian Republic;North Caucasus Federal District;12.03.2020;;
